门类,大类,中类,小类,名称
C,,151,,酒的制造
C,,,1511,酒精制造
C,,,1512,白酒制造
C,,,1513,啤酒制造
C,,,1514,黄酒制造
C,,,1515,葡萄酒制造
C,,,1519,其他酒制造
C,,152,,饮料制造
C,,,1521,碳酸饮料制造
C,,,1522,瓶（罐）装饮用水制造
C,,,1523,果菜汁及果菜汁饮料制造
C,,,1524,含乳饮料和植物蛋白饮料制造
C,,,1525,固体饮料制造
C,,,1529,茶饮料及其他饮料制造
C,,153,1530,精制茶加工
C,16,,,烟草制品业
C,,161,1610,烟叶复烤
C,,162,1620,卷烟制造
C,,169,1690,其他烟草制品制造
C,17,,,纺织业
C,,171,,棉纺织及印染精加工
C,,,1711,棉纺纱加工
C,,,1712,棉织造加工
C,,,1713,棉印染精加工
C,,172,,毛纺织及染整精加工
C,,,1721,毛条和毛纱线加工
C,,,1722,毛织造加工
C,,,1723,毛染整精加工
C,,173,,麻纺织及染整精加工
C,,,1731,麻纤维纺前加工和纺纱
C,,,1732,麻织造加工
C,,,1733,麻染整精加工
C,,174,,丝绢纺织及印染精加工
C,,,1741,缫丝加工
C,,,1742,绢纺和丝织加工
C,,,1743,丝印染精加工
C,,175,,化纤织造及印染精加工
C,,,1751,化纤织造加工
C,,,1752,化纤织物染整精加工
C,,176,,针织或钩针编织物及其制品制造
C,,,1761,针织或钩针编织物织造
C,,,1762,针织或钩针编织物印染精加工
C,,,1763,针织或钩针编织品制造
C,,177,,家用纺织制成品制造
C,,,1771,床上用品制造
C,,,1772,毛巾类制品制造
C,,,1773,窗帘、布艺类产品制造
C,,,1779,其他家用纺织制成品制造
C,,178,,非家用纺织制成品制造
C,,,1781,非织造布制造
C,,,1782,绳、索、缆制造
C,,,1783,纺织带和帘子布制造
C,,,1784,篷、帆布制造
C,,,1789,其他非家用纺织制成品制造
C,18,,,纺织服装、服饰业
C,,181,1810,机织服装制造
C,,182,1820,针织或钩针编织服装制造
C,,183,1830,服饰制造
C,19,,,皮革、毛皮、羽毛及其制品和制鞋业
C,,191,1910,皮革鞣制加工
C,,192,,皮革制品制造
C,,,1921,皮革服装制造
C,,,1922,皮箱、包（袋）制造
C,,,1923,皮手套及皮装饰制品制造
C,,,1929,其他皮革制品制造
C,,193,,毛皮鞣制及制品加工
C,,,1931,毛皮鞣制加工
C,,,1932,毛皮服装加工
C,,,1939,其他毛皮制品加工
C,,194,,羽毛(绒)加工及制品制造
C,,,1941,羽毛（绒）加工
C,,,1942,羽毛（绒）制品加工
C,,195,,制鞋业
C,,,1951,纺织面料鞋制造
C,,,1952,皮鞋制造
C,,,1953,塑料鞋制造
C,,,1954,橡胶鞋制造
C,,,1959,其他制鞋业
C,20,,,木材加工和木、竹、藤、棕、草制品业
C,,201,,木材加工
C,,,2011,锯材加工
C,,,2012,木片加工
C,,,2013,单板加工
C,,,2019,其他木材加工
C,,202,,人造板制造
C,,,2021,胶合板制造
C,,,2022,纤维板制造
C,,,2023,刨花板制造
C,,,2029,其他人造板制造
C,,203,,木制品制造
C,,,2031,建筑用木料及木材组件加工
C,,,2032,木门窗、楼梯制造
C,,,2033,地板制造
C,,,2034,木制容器制造
C,,,2039,软木制品及其他木制品制造
C,,204,,竹、藤、棕、草等制品制造
C,,,2041,竹制品制造
C,,,2042,藤制品制造
C,,,2043,棕制品制造
C,,,2049,草及其他制品制造
C,21,,,家具制造业
C,,211,2110,木质家具制造
C,,212,2120,竹、藤家具制造
C,,213,2130,金属家具制造
C,,214,2140,塑料家具制造
C,,219,2190,其他家具制造
C,22,,,造纸和纸制品业
C,,221,,纸浆制造
C,,,2211,木竹浆制造
C,,,2212,非木竹浆制造
C,,222,,造纸
C,,,2221,机制纸及纸板制造
C,,,2222,手工纸制造
C,,,2223,加工纸制造
C,,223,,纸制品制造
C,,,2231,纸和纸板容器制造
C,,,2239,其他纸制品制造
C,23,,,印刷和记录媒介复制业
C,,231,,印刷
C,,,2311,书、报刊印刷
C,,,2312,本册印制
C,,,2319,包装装潢及其他印刷
C,,232,2320,装订及印刷相关服务
C,,233,2330,记录媒介复制
C,24,,,文教、工美、体育和娱乐用品制造业
C,,241,,文教办公用品制造
C,,,2411,文具制造
C,,,2412,笔的制造
C,,,2413,教学用模型及教具制造
C,,,2414,墨水、墨汁制造
C,,,2419,其他文教办公用品制造
C,,242,,乐器制造
C,,,2421,中乐器制造
C,,,2422,西乐器制造
C,,,2423,电子乐器制造
C,,,2429,其他乐器及零件制造
C,,243,,工艺美术品制造
C,,,2431,雕塑工艺品制造
C,,,2432,金属工艺品制造
C,,,2433,漆器工艺品制造
C,,,2434,花画工艺品制造
C,,,2435,天然植物纤维编织工艺品制造
C,,,2436,抽纱刺绣工艺品制造
C,,,2437,地毯、挂毯制造
C,,,2438,珠宝首饰及有关物品制造
C,,,2439,其他工艺美术品制造
C,,244,,体育用品制造
C,,,2441,球类制造
C,,,2442,体育器材及配件制造
C,,,2443,训练健身器材制造
C,,,2444,运动防护用具制造
C,,,2449,其他体育用品制造
C,,245,2450,玩具制造
C,,246,,游艺器材及娱乐用品制造
C,,,2461,露天游乐场所游乐设备制造
C,,,2462,游艺用品及室内游艺器材制造
C,,,2469,其他娱乐用品制造
C,25,,,石油加工、炼焦和核燃料加工业
C,,251,,精炼石油产品制造
C,,,2511,原油加工及石油制品制造
C,,,2512,人造原油制造
C,,252,2520,炼焦
C,,253,2530,核燃料加工
C,26,,,化学原料和化学制品制造业
C,,261,,基础化学原料制造
C,,,2611,无机酸制造
C,,,2612,无机碱制造
C,,,2613,无机盐制造
C,,,2614,有机化学原料制造
C,,,2619,其他基础化学原料制造
C,,262,,肥料制造
C,,,2621,氮肥制造
C,,,2622,磷肥制造
C,,,2623,钾肥制造
C,,,2624,复混肥料制造
C,,,2625,有机肥料及微生物肥料制造
C,,,2629,其他肥料制造
C,,263,,农药制造
C,,,2631,化学农药制造
C,,,2632,生物化学农药及微生物农药制造
C,,264,,涂料、油墨、颜料及类似产品制造
C,,,2641,涂料制造
C,,,2642,油墨及类似产品制造
C,,,2643,颜料制造
C,,,2644,染料制造
C,,,2645,密封用填料及类似品制造
C,,265,,合成材料制造
C,,,2651,初级形态塑料及合成树脂制造
C,,,2652,合成橡胶制造
C,,,2653,合成纤维单（聚合）体制造
C,,,2659,其他合成材料制造
C,,266,,专用化学产品制造
C,,,2661,化学试剂和助剂制造
C,,,2662,专项化学用品制造
C,,,2663,林产化学产品制造
C,,,2664,信息化学品制造
C,,,2665,环境污染处理专用药剂材料制造
C,,,2666,动物胶制造
C,,,2669,其他专用化学产品制造
C,,267,,炸药、火工及焰火产品制造
C,,,2671,炸药及火工产品制造
C,,,2672,焰火、鞭炮产品制造
C,,268,,日用化学产品制造
C,,,2681,肥皂及合成洗涤剂制造
C,,,2682,化妆品制造
C,,,2683,口腔清洁用品制造
C,,,2684,香料、香精制造
C,,,2689,其他日用化学产品制造
C,27,,,医药制造业
C,,271,2710,化学药品原料药制造
C,,272,2720,化学药品制剂制造
C,,273,2730,中药饮片加工
C,,274,2740,中成药生产
C,,275,2750,兽用药品制造
C,,276,2760,生物药品制造
C,,277,2770,卫生材料及医药用品制造
C,28,,,化学纤维制造业
C,,281,,纤维素纤维原料及纤维制造
C,,,2811,化纤浆粕制造
C,,,2812,人造纤维（纤维素纤维）制造
C,,282,,合成纤维制造
C,,,2821,锦纶纤维制造
C,,,2822,涤纶纤维制造
C,,,2823,腈纶纤维制造
C,,,2824,维纶纤维制造
C,,,2825,丙纶纤维制造
C,,,2826,氨纶纤维制造
C,,,2829,其他合成纤维制造
C,29,,,橡胶和塑料制品业
C,,291,,橡胶制品业
C,,,2911,轮胎制造
C,,,2912,橡胶板、管、带制造
C,,,2913,橡胶零件制造
C,,,2914,再生橡胶制造
C,,,2915,日用及医用橡胶制品制造
C,,,2919,其他橡胶制品制造
C,,292,,塑料制品业
C,,,2921,塑料薄膜制造
C,,,2922,塑料板、管、型材制造
C,,,2923,塑料丝、绳及编织品制造
C,,,2924,泡沫塑料制造
C,,,2925,塑料人造革、合成革制造
C,,,2926,塑料包装箱及容器制造
C,,,2927,日用塑料制品制造
C,,,2928,塑料零件制造
C,,,2929,其他塑料制品制造
C,30,,,非金属矿物制品业
C,,301,,水泥、石灰和石膏制造
C,,,3011,水泥制造
C,,,3012,石灰和石膏制造
C,,302,,石膏、水泥制品及类似制品制造
C,,,3021,水泥制品制造
C,,,3022,砼结构构件制造
C,,,3023,石棉水泥制品制造
C,,,3024,轻质建筑材料制造
C,,,3029,其他水泥类似制品制造
C,,303,,砖瓦、石材等建筑材料制造
C,,,3031,粘土砖瓦及建筑砌块制造
C,,,3032,建筑陶瓷制品制造
C,,,3033,建筑用石加工
C,,,3034,防水建筑材料制造
C,,,3035,隔热和隔音材料制造
C,,,3039,其他建筑材料制造
C,,304,,玻璃制造
C,,,3041,平板玻璃制造
C,,,3049,其他玻璃制造
C,,305,,玻璃制品制造
C,,,3051,技术玻璃制品制造
C,,,3052,光学玻璃制造
C,,,3053,玻璃仪器制造
C,,,3054,日用玻璃制品制造
C,,,3055,玻璃包装容器制造
C,,,3056,玻璃保温容器制造
C,,,3057,制镜及类似品加工
C,,,3059,其他玻璃制品制造
C,,306,,玻璃纤维和玻璃纤维增强塑料制品制造
C,,,3061,玻璃纤维及制品制造
C,,,3062,玻璃纤维增强塑料制品制造
C,,307,,陶瓷制品制造
C,,,3071,卫生陶瓷制品制造
C,,,3072,特种陶瓷制品制造
C,,,3073,日用陶瓷制品制造
C,,,3079,园林、陈设艺术及其他陶瓷制品制造
C,,308,,耐火材料制品制造
C,,,3081,石棉制品制造
C,,,3082,云母制品制造
C,,,3089,耐火陶瓷制品及其他耐火材料制造
C,,309,,石墨及其他非金属矿物制品制造
C,,,3091,石墨及碳素制品制造
C,,,3099,其他非金属矿物制品制造
C,31,,,黑色金属冶炼和压延加工业
C,,311,3110,炼铁
C,,312,3120,炼钢
C,,313,3130,黑色金属铸造
C,,314,3140,钢压延加工
C,,315,3150,铁合金冶炼
C,32,,,有色金属冶炼和压延加工业
C,,321,,常用有色金属冶炼
C,,,3211,铜冶炼
C,,,3212,铅锌冶炼
C,,,3213,镍钴冶炼
C,,,3214,锡冶炼
C,,,3215,锑冶炼
C,,,3216,铝冶炼
C,,,3217,镁冶炼
C,,,3219,其他常用有色金属冶炼
C,,322,,贵金属冶炼
C,,,3221,金冶炼
C,,,3222,银冶炼
C,,,3229,其他贵金属冶炼
C,,323,,稀有稀土金属冶炼
C,,,3231,钨钼冶炼
C,,,3232,稀土金属冶炼
C,,,3239,其他稀有金属冶炼
C,,324,3240,有色金属合金制造
C,,325,3250,有色金属铸造
C,,326,,有色金属压延加工
C,,,3261,铜压延加工
C,,,3262,铝压延加工
C,,,3263,贵金属压延加工
C,,,3264,稀有稀土金属压延加工
C,,,3269,其他有色金属压延加工
C,33,,,金属制品业
C,,331,,结构性金属制品制造
C,,,3311,金属结构制造
C,,,3312,金属门窗制造
C,,332,,金属工具制造
C,,,3321,切削工具制造
C,,,3322,手工具制造
C,,,3323,农用及园林用金属工具制造
C,,,3324,刀剪及类似日用金属工具制造
C,,,3329,其他金属工具制造
C,,333,,集装箱及金属包装容器制造
C,,,3331,集装箱制造
C,,,3332,金属压力容器制造
C,,,3333,金属包装容器制造
C,,334,3340,金属丝绳及其制品制造
C,,335,,建筑、安全用金属制品制造
C,,,3351,建筑、家具用金属配件制造
C,,,3352,建筑装饰及水暖管道零件制造
C,,,3353,安全、消防用金属制品制造
C,,,3359,其他建筑、安全用金属制品制造
C,,336,3360,金属表面处理及热处理加工
C,,337,,搪瓷制品制造
C,,,3371,生产专用搪瓷制品制造
C,,,3372,建筑装饰搪瓷制品制造
C,,,3373,搪瓷卫生洁具制造
C,,,3379,搪瓷日用品及其他搪瓷制品制造
C,,338,,金属制日用品制造
C,,,3381,金属制厨房用器具制造
C,,,3382,金属制餐具和器皿制造
C,,,3383,金属制卫生器具制造
C,,,3389,其他金属制日用品制造
C,,339,,其他金属制品制造
C,,,3391,锻件及粉末冶金制品制造
C,,,3392,交通及公共管理用金属标牌制造
C,,,3399,其他未列明金属制品制造
C,34,,,通用设备制造业
C,,341,,锅炉及原动设备制造
C,,,3411,锅炉及辅助设备制造
C,,,3412,内燃机及配件制造
C,,,3413,汽轮机及辅机制造
C,,,3414,水轮机及辅机制造
C,,,3415,风能原动设备制造
C,,,3419,其他原动设备制造
C,,342,,金属加工机械制造
C,,,3421,金属切削机床制造
C,,,3422,金属成形机床制造
C,,,3423,铸造机械制造
C,,,3424,金属切割及焊接设备制造
C,,,3425,机床附件制造
C,,,3429,其他金属加工机械制造
C,,343,,物料搬运设备制造
C,,,3431,轻小型起重设备制造
C,,,3432,起重机制造
C,,,3433,生产专用车辆制造
C,,,3434,连续搬运设备制造
C,,,3435,电梯、自动扶梯及升降机制造
C,,,3439,其他物料搬运设备制造
C,,344,,泵、阀门、压缩机及类似机械制造
C,,,3441,泵及真空设备制造
C,,,3442,气体压缩机械制造
C,,,3443,阀门和旋塞制造
C,,,3444,液压和气压动力机械及元件制造
C,,345,,轴承、齿轮和传动部件制造
C,,,3451,轴承制造
C,,,3452,齿轮及齿轮减、变速箱制造
C,,,3459,其他传动部件制造
C,,346,,烘炉、风机、衡器、包装等设备制造
C,,,3461,烘炉、熔炉及电炉制造
C,,,3462,风机、风扇制造
C,,,3463,气体、液体分离及纯净设备制造
C,,,3464,制冷、空调设备制造
C,,,3465,风动和电动工具制造
C,,,3466,喷枪及类似器具制造
C,,,3467,衡器制造
C,,,3468,包装专用设备制造
C,,347,,文化、办公用机械制造
C,,,3471,电影机械制造
C,,,3472,幻灯及投影设备制造
C,,,3473,照相机及器材制造
C,,,3474,复印和胶印设备制造
C,,,3475,计算器及货币专用设备制造
C,,,3479,其他文化、办公用机械制造
C,,348,,通用零部件制造
C,,,3481,金属密封件制造
C,,,3482,紧固件制造
C,,,3483,弹簧制造
C,,,3484,机械零部件加工
C,,,3489,其他通用零部件制造
C,,349,3490,其他通用设备制造业
C,35,,,专用设备制造业
C,,351,,采矿、冶金、建筑专用设备制造
C,,,3511,矿山机械制造
C,,,3512,石油钻采专用设备制造
C,,,3513,建筑工程用机械制造
C,,,3514,海洋工程专用设备制造
C,,,3515,建筑材料生产专用机械制造
C,,,3516,冶金专用设备制造
C,,352,,化工、木材、非金属加工专用设备制造
C,,,3521,炼油、化工生产专用设备制造
C,,,3522,橡胶加工专用设备制造
C,,,3523,塑料加工专用设备制造
C,,,3524,木材加工机械制造
C,,,3525,模具制造
C,,,3529,其他非金属加工专用设备制造
C,,353,,食品、饮料、烟草及饲料生产专用设备制造
C,,,3531,食品、酒、饮料及茶生产专用设备制造
C,,,3532,农副食品加工专用设备制造
C,,,3533,烟草生产专用设备制造
C,,,3534,饲料生产专用设备制造
C,,354,,印刷、制药、日化及日用品生产专用设备制造
C,,,3541,制浆和造纸专用设备制造
C,,,3542,印刷专用设备制造
C,,,3543,日用化工专用设备制造
C,,,3544,制药专用设备制造
C,,,3545,照明器具生产专用设备制造
C,,,3546,玻璃、陶瓷和搪瓷制品生产专用设备制造
C,,,3549,其他日用品生产专用设备制造
C,,355,,纺织、服装和皮革加工专用设备制造
C,,,3551,纺织专用设备制造
C,,,3552,皮革、毛皮及其制品加工专用设备制造
C,,,3553,缝制机械制造
C,,,3554,洗涤机械制造
C,,356,,电子和电工机械专用设备制造
C,,,3561,电工机械专用设备制造
C,,,3562,电子工业专用设备制造
C,,357,,农、林、牧、渔专用机械制造
C,,,3571,拖拉机制造
C,,,3572,机械化农业及园艺机具制造
C,,,3573,营林及木竹采伐机械制造
C,,,3574,畜牧机械制造
C,,,3575,渔业机械制造
C,,,3576,农林牧渔机械配件制造
C,,,3577,棉花加工机械制造
C,,,3579,其他农、林、牧、渔业机械制造
C,,358,,医疗仪器设备及器械制造
C,,,3581,医疗诊断、监护及治疗设备制造
C,,,3582,口腔科用设备及器具制造
C,,,3583,医疗实验室及医用消毒设备和器具制造
C,,,3584,医疗、外科及兽医用器械制造
C,,,3585,机械治疗及病房护理设备制造
C,,,3586,假肢、人工器官及植（介）入器械制造
C,,,3589,其他医疗设备及器械制造
C,,359,,环保、社会公共服务及其他专用设备制造
C,,,3591,环境保护专用设备制造
C,,,3592,地质勘查专用设备制造
C,,,3593,邮政专用机械及器材制造
C,,,3594,商业、饮食、服务专用设备制造
C,,,3595,社会公共安全设备及器材制造
C,,,3596,交通安全、管制及类似专用设备制造
C,,,3597,水资源专用机械制造
C,,,3599,其他专用设备制造
C,36,,,汽车制造业
C,,361,3610,汽车整车制造
C,,362,3620,改装汽车制造
C,,363,3630,低速载货汽车制造
C,,364,3640,电车制造
C,,365,3650,汽车车身、挂车制造
C,,366,3660,汽车零部件及配件制造
C,37,,,铁路、船舶、航空航天和其他运输设备制造业
C,,371,,铁路运输设备制造
C,,,3711,铁路机车车辆及动车组制造
C,,,3712,窄轨机车车辆制造
C,,,3713,铁路机车车辆配件制造
C,,,3714,铁路专用设备及器材、配件制造
C,,,3719,其他铁路运输设备制造
C,,372,3720,城市轨道交通设备制造
C,,373,,船舶及相关装置制造
C,,,3731,金属船舶制造
C,,,3732,非金属船舶制造
C,,,3733,娱乐船和运动船制造
C,,,3734,船用配套设备制造
C,,,3735,船舶改装与拆除
C,,,3739,航标器材及其他相关装置制造
C,,374,,航空、航天器及设备制造
C,,,3741,飞机制造
C,,,3742,航天器制造
C,,,3743,航空、航天相关设备制造
C,,,3749,其他航空航天器制造
C,,375,,摩托车制造
C,,,3751,摩托车整车制造
C,,,3752,摩托车零部件及配件制造
C,,376,,自行车制造
C,,,3761,脚踏自行车及残疾人座车制造
C,,,3762,助动自行车制造
C,,377,3770,非公路休闲车及零配件制造
C,,379,,潜水救捞及其他未列明运输设备制造
C,,,3791,潜水及水下救捞装备制造
C,,,3799,其他未列明运输设备制造
C,38,,,电气机械和器材制造业
C,,381,,电机制造
C,,,3811,发电机及发电机组制造
C,,,3812,电动机制造
C,,,3819,微电机及其他电机制造
C,,382,,输配电及控制设备制造
C,,,3821,变压器、整流器和电感器制造
C,,,3822,电容器及其配套设备制造
C,,,3823,配电开关控制设备制造
C,,,3824,电力电子元器件制造
C,,,3825,光伏设备及元器件制造
C,,,3829,其他输配电及控制设备制造
C,,383,,电线、电缆、光缆及电工器材制造
C,,,3831,电线、电缆制造
C,,,3832,光纤、光缆制造
C,,,3833,绝缘制品制造
C,,,3839,其他电工器材制造
C,,384,,电池制造
C,,,3841,锂离子电池制造
C,,,3842,镍氢电池制造
C,,,3849,其他电池制造
C,,385,,家用电力器具制造
C,,,3851,家用制冷电器具制造
C,,,3852,家用空气调节器制造
C,,,3853,家用通风电器具制造
C,,,3854,家用厨房电器具制造
C,,,3855,家用清洁卫生电器具制造
C,,,3856,家用美容、保健电器具制造
C,,,3857,家用电力器具专用配件制造
C,,,3859,其他家用电力器具制造
C,,386,,非电力家用器具制造
C,,,3861,燃气、太阳能及类似能源家用器具制造
C,,,3869,其他非电力家用器具制造
C,,387,,照明器具制造
C,,,3871,电光源制造
C,,,3872,照明灯具制造
C,,,3879,灯用电器附件及其他照明器具制造
C,,389,,其他电气机械及器材制造
C,,,3891,电气信号设备装置制造
C,,,3899,其他未列明电气机械及器材制造
C,39,,,计算机、通信和其他电子设备制造业
C,,391,,计算机制造
C,,,3911,计算机整机制造
C,,,3912,计算机零部件制造
C,,,3913,计算机外围设备制造
C,,,3919,其他计算机制造
C,,392,,通信设备制造
C,,,3921,通信系统设备制造
C,,,3922,通信终端设备制造
C,,393,,广播电视设备制造
C,,,3931,广播电视节目制作及发射设备制造
C,,,3932,广播电视接收设备及器材制造
C,,,3939,应用电视设备及其他广播电视设备制造
C,,394,3940,雷达及配套设备制造
C,,395,,视听设备制造
C,,,3951,电视机制造
C,,,3952,音响设备制造
C,,,3953,影视录放设备制造
C,,396,,电子器件制造
C,,,3961,电子真空器件制造
C,,,3962,半导体分立器件制造
C,,,3963,集成电路制造
C,,,3969,光电子器件及其他电子器件制造
C,,397,,电子元件制造
C,,,3971,电子元件及组件制造
C,,,3972,印制电路板制造
C,,399,3990,其他电子设备制造
C,40,,,仪器仪表制造业
C,,401,,通用仪器仪表制造
C,,,4011,工业自动控制系统装置制造
C,,,4012,电工仪器仪表制造
C,,,4013,绘图、计算及测量仪器制造
C,,,4014,实验分析仪器制造
C,,,4015,试验机制造
C,,,4019,供应用仪表及其他通用仪器制造
C,,402,,专用仪器仪表制造
C,,,4021,环境监测专用仪器仪表制造
C,,,4022,运输设备及生产用计数仪表制造
C,,,4023,导航、气象及海洋专用仪器制造
C,,,4024,农林牧渔专用仪器仪表制造
C,,,4025,地质勘探和地震专用仪器制造
C,,,4026,教学专用仪器制造
C,,,4027,核子及核辐射测量仪器制造
C,,,4028,电子测量仪器制造
C,,,4029,其他专用仪器制造
C,,403,4030,钟表与计时仪器制造
C,,404,,光学仪器及眼镜制造
C,,,4041,光学仪器制造
C,,,4042,眼镜制造
C,,409,4090,其他仪器仪表制造业
C,41,,,其他制造业
C,,411,,日用杂品制造
C,,,4111,鬃毛加工、制刷及清扫工具制造
C,,,4119,其他日用杂品制造
C,,412,4120,煤制品制造
C,,413,4130,核辐射加工
C,,419,4190,其他未列明制造业
C,42,,,废弃资源综合利用业
C,,421,4210,金属废料和碎屑加工处理
C,,422,4220,非金属废料和碎屑加工处理
C,43,,,金属制品、机械和设备修理业
C,,431,4310,金属制品修理
C,,432,4320,通用设备修理
C,,433,4330,专用设备修理
C,,434,,铁路、船舶、航空航天等运输设备修理
C,,,4341,铁路运输设备修理
C,,,4342,船舶修理
C,,,4343,航空航天器修理
C,,,4349,其他运输设备修理
C,,435,4350,电气设备修理
C,,436,4360,仪器仪表修理
C,,439,4390,其他机械和设备修理业
D,,,,电力、热力、燃气及水生产和供应业
D,44,,,电力、热力生产和供应业
D,,441,,电力生产
D,,,4411,火力发电
D,,,4412,水力发电
D,,,4413,核力发电
D,,,4414,风力发电
D,,,4415,太阳能发电
D,,,4419,其他电力生产
D,,442,4420,电力供应
D,,443,4430,热力生产和供应
